STATN	STNCODE	MONTH	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:number_of_values	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:number_of_values	DOXY_BTL_bottom:mean	DOXY_BTL_bottom:std	DOXY_BTL_bottom:number_of_values	O2SAT_BTL:mean	O2SAT_BTL:std	O2SAT_BTL:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values
HAVSTENSFJORD	FIBO46	02	1.70	1.42	9	22.16	1.39	9	2.26	2.25	24	92.58	4.69	11	nan	nan	0	0.66	0.12	11	15.59	3.58	11	25.76	5.65	11	0.33	0.07	11	14.67	3.43	11	2.22	0.79	11	32.16	5.59	11	32.16	5.59	11	0.42	0.47	11	4.03	1.97	6
HAVSTENSFJORD	FIBO46	03	2.36	1.11	11	21.71	2.36	11	3.36	2.17	26	100.88	6.15	12	nan	nan	0	0.44	0.27	12	12.07	6.04	12	20.72	7.24	12	0.32	0.19	12	11.34	5.75	12	1.01	0.83	12	28.04	4.97	12	28.04	4.97	12	4.44	6.35	12	4.05	1.37	10
HAVSTENSFJORD	FIBO46	04	4.57	1.33	13	20.57	1.71	13	3.15	1.86	28	110.80	7.74	15	nan	nan	0	0.06	0.03	15	5.11	4.36	15	9.28	7.45	15	0.17	0.09	15	4.78	4.18	15	0.48	0.49	15	24.10	7.22	15	24.10	7.22	15	6.01	7.62	15	3.94	1.89	14
HAVSTENSFJORD	FIBO46	05	10.83	1.81	16	20.21	1.64	16	2.34	1.71	33	109.61	5.77	17	nan	nan	0	0.07	0.03	19	2.13	2.16	19	5.04	4.11	19	0.13	0.09	19	2.17	2.00	16	0.47	0.28	19	21.20	4.81	19	21.20	4.81	19	3.07	1.85	19	4.46	1.52	19
HAVSTENSFJORD	FIBO46	06	15.93	1.53	11	20.53	1.38	11	2.40	1.66	31	111.00	8.36	13	nan	nan	0	0.07	0.03	17	0.38	0.48	17	2.58	2.20	17	0.05	0.03	17	0.45	0.33	8	0.22	0.18	15	18.14	2.34	17	18.14	2.34	17	2.98	1.96	16	4.57	1.24	15
HAVSTENSFJORD	FIBO46	07	18.37	1.79	15	20.75	2.45	15	1.54	1.41	30	105.27	7.69	15	nan	nan	0	0.05	0.02	18	0.16	0.10	18	1.29	0.99	18	0.03	0.01	18	nan	nan	2	0.20	0.12	18	17.90	1.84	18	17.90	1.84	18	2.27	0.93	17	5.61	1.72	17
HAVSTENSFJORD	FIBO46	08	19.97	1.47	13	21.27	1.42	13	0.51	0.70	35	107.62	4.19	15	nan	nan	0	0.06	0.03	19	0.16	0.09	19	1.71	1.71	19	0.03	0.02	19	nan	nan	2	0.21	0.13	19	19.62	6.27	19	19.62	6.27	19	2.56	1.53	19	6.31	1.87	19
HAVSTENSFJORD	FIBO46	09	17.78	0.49	13	21.70	1.07	13	0.29	0.65	31	100.34	11.22	16	nan	nan	0	0.07	0.03	19	0.26	0.22	19	3.61	4.98	19	0.05	0.04	19	0.33	0.23	5	0.26	0.25	19	18.94	2.93	19	18.94	2.93	19	3.00	2.12	18	5.28	1.91	17
HAVSTENSFJORD	FIBO46	10	13.64	1.12	13	22.04	1.93	13	0.10	0.40	32	95.62	3.72	15	nan	nan	0	0.11	0.06	20	0.75	0.80	20	6.58	5.87	20	0.10	0.07	20	0.72	0.72	15	0.37	0.38	20	18.36	2.54	20	18.36	2.54	20	2.52	1.38	18	4.82	1.46	20
HAVSTENSFJORD	FIBO46	11	9.27	1.33	14	21.81	2.25	13	0.33	1.00	33	92.77	3.77	16	nan	nan	0	0.32	0.20	18	4.22	2.65	18	14.65	9.09	18	0.26	0.16	18	3.51	2.24	18	1.45	1.23	18	21.98	3.98	18	21.98	3.98	18	2.81	2.04	18	3.63	0.92	12
HAVSTENSFJORD	FIBO46	12	5.69	1.49	13	22.55	2.74	13	0.88	1.48	32	88.99	7.56	15	nan	nan	0	0.72	0.42	18	8.77	2.66	18	21.03	6.70	18	0.37	0.22	18	7.73	2.51	18	2.05	0.62	18	24.47	4.65	18	24.47	4.65	18	0.82	1.19	17	3.43	0.93	9
DANAFJORD	KANI04	01	3.02	1.89	14	22.35	3.67	13	6.23	0.53	29	97.82	2.41	14	nan	nan	0	0.51	0.09	14	7.88	3.48	14	10.45	3.87	14	0.22	0.08	14	7.36	3.36	14	1.10	0.97	14	21.97	5.31	14	21.97	5.31	14	2.43	1.99	13	4.70	2.01	11
DANAFJORD	KANI04	02	1.40	1.35	16	21.25	2.79	15	6.57	0.46	34	98.31	4.44	17	nan	nan	0	0.51	0.17	17	9.57	3.83	17	11.56	3.92	17	0.28	0.15	17	9.48	2.93	16	1.00	0.81	17	24.04	3.70	16	24.04	3.70	16	3.49	5.96	16	3.68	1.28	17
DANAFJORD	KANI04	03	1.79	1.28	19	19.18	2.91	19	6.40	0.38	37	104.17	6.38	20	nan	nan	0	0.24	0.21	20	7.63	5.13	20	6.45	4.47	20	0.16	0.10	20	8.06	4.37	18	0.87	0.83	20	24.35	4.98	17	24.35	4.98	17	6.38	4.86	20	4.24	2.13	19
DANAFJORD	KANI04	04	4.30	1.18	17	19.46	3.51	17	6.31	0.46	36	104.22	3.74	18	nan	nan	0	0.11	0.05	18	5.29	3.64	18	4.12	2.33	18	0.12	0.05	18	5.33	3.79	18	1.02	0.68	18	22.14	5.16	15	22.14	5.16	15	2.71	1.58	18	4.62	1.84	18
DANAFJORD	KANI04	05	10.00	1.79	21	16.87	2.09	21	5.88	0.54	36	106.96	4.08	22	nan	nan	0	0.08	0.03	22	4.62	2.86	22	3.41	1.84	22	0.12	0.05	22	4.38	2.79	22	0.71	0.45	22	21.57	3.82	18	21.57	3.82	18	2.80	1.27	22	4.05	1.36	22
DANAFJORD	KANI04	06	14.73	1.59	12	18.94	2.40	12	5.46	0.40	32	109.43	4.69	15	nan	nan	0	0.07	0.03	15	1.66	1.49	15	1.26	0.94	15	0.08	0.05	15	2.13	1.36	11	0.26	0.26	15	18.53	3.14	15	18.53	3.14	15	2.56	1.01	15	4.95	1.70	15
DANAFJORD	KANI04	07	17.61	1.29	13	19.96	1.82	13	4.92	0.42	33	106.08	3.85	15	nan	nan	0	0.05	0.01	15	1.36	1.84	15	1.19	1.06	15	0.06	0.05	15	1.93	1.86	11	0.37	0.35	15	17.96	2.51	15	17.96	2.51	15	2.12	0.98	15	6.51	2.07	15
DANAFJORD	KANI04	08	19.12	1.39	13	19.55	2.22	13	4.10	0.42	34	105.15	4.76	16	nan	nan	0	0.07	0.04	16	1.55	2.01	16	1.19	1.06	16	0.08	0.07	16	2.54	2.16	10	0.39	0.33	16	18.21	3.89	16	18.21	3.89	16	2.77	1.68	16	5.66	1.60	16
DANAFJORD	KANI04	09	17.06	0.53	14	20.82	2.87	13	3.76	0.36	36	100.77	3.96	16	nan	nan	0	0.09	0.05	16	1.84	1.81	16	2.56	1.86	16	0.11	0.07	16	2.30	1.37	11	0.63	0.57	16	18.77	3.65	16	18.77	3.65	16	3.00	1.42	16	5.07	2.16	16
DANAFJORD	KANI04	10	13.14	1.60	15	22.17	2.12	14	4.29	0.53	34	98.60	2.08	17	nan	nan	0	0.13	0.05	17	1.50	1.35	17	2.86	2.49	17	0.10	0.07	17	1.24	1.29	17	0.53	0.38	17	17.85	2.43	17	17.85	2.43	17	3.24	1.26	17	4.98	1.43	16
DANAFJORD	KANI04	11	9.36	1.76	15	22.34	3.55	14	5.03	0.41	35	97.56	2.36	16	nan	nan	0	0.28	0.09	16	3.81	2.29	16	5.01	2.37	16	0.26	0.22	16	3.21	2.19	16	1.28	0.81	16	18.92	3.78	16	18.92	3.78	16	3.01	1.39	16	4.94	1.76	13
DANAFJORD	KANI04	12	6.17	1.80	13	23.51	3.15	13	5.64	0.46	28	96.41	2.55	15	nan	nan	0	0.40	0.09	15	5.68	1.74	15	6.99	2.63	15	0.33	0.20	15	4.74	1.48	15	1.30	0.72	15	19.77	2.51	15	19.77	2.51	15	2.15	1.29	15	4.48	1.68	12
ÅSTOL	FIBO53	01	3.22	1.90	13	23.55	2.05	12	6.28	0.36	24	98.14	2.53	13	nan	nan	0	0.51	0.08	13	8.60	2.65	13	10.38	3.91	13	0.21	0.09	13	8.06	2.43	13	0.85	0.36	13	20.86	3.02	13	20.86	3.02	13	1.67	1.41	13	5.73	1.85	12
ÅSTOL	FIBO53	02	1.60	1.38	15	22.80	2.47	14	6.65	0.41	25	98.96	4.37	16	nan	nan	0	0.51	0.17	16	10.01	3.53	16	11.46	3.90	16	0.30	0.19	16	9.36	3.19	16	0.75	0.43	16	23.88	3.59	15	23.88	3.59	15	3.40	5.65	16	5.20	1.75	14
ÅSTOL	FIBO53	03	1.64	1.43	19	21.47	3.40	19	6.56	0.35	33	104.78	6.15	20	nan	nan	0	0.22	0.19	20	5.29	4.36	20	5.11	4.43	20	0.16	0.11	20	5.21	4.04	19	0.28	0.21	20	21.43	4.50	17	21.43	4.50	17	6.29	4.79	20	5.60	1.98	20
ÅSTOL	FIBO53	04	4.56	1.25	16	20.31	3.49	16	6.33	0.38	28	105.08	3.74	17	nan	nan	0	0.10	0.05	17	4.48	2.71	17	3.18	2.10	17	0.12	0.06	17	4.39	2.51	16	0.62	0.54	17	20.17	5.27	14	20.17	5.27	14	2.88	1.97	17	5.75	1.82	17
ÅSTOL	FIBO53	05	10.16	1.79	20	19.12	2.17	19	6.01	0.44	35	106.46	3.00	21	nan	nan	0	0.07	0.03	21	2.57	2.56	21	2.46	1.53	21	0.10	0.06	21	2.70	2.52	18	0.37	0.24	21	19.62	3.73	17	19.62	3.73	17	2.65	1.06	21	5.80	1.93	21
ÅSTOL	FIBO53	06	14.77	1.61	10	20.27	2.45	10	5.41	0.54	29	109.31	4.94	13	nan	nan	0	0.06	0.02	14	0.93	1.01	14	0.89	0.59	14	0.06	0.04	14	1.44	1.15	8	0.24	0.19	14	17.28	2.45	14	17.28	2.45	14	2.31	0.95	14	5.86	1.23	14
ÅSTOL	FIBO53	07	17.47	1.33	15	20.77	1.97	15	4.80	0.37	27	106.21	3.98	15	nan	nan	0	0.04	0.02	16	0.93	1.22	16	0.89	0.83	16	0.05	0.04	16	1.72	1.20	7	0.25	0.15	16	16.93	1.80	16	16.93	1.80	16	1.99	0.78	16	7.47	1.98	16
ÅSTOL	FIBO53	08	19.19	1.38	13	20.15	1.32	13	3.91	0.71	28	107.24	5.88	15	nan	nan	0	0.05	0.02	16	0.44	0.56	16	0.96	0.93	16	0.05	0.03	16	0.62	0.64	9	0.23	0.10	16	17.19	1.23	16	17.19	1.23	16	2.72	1.56	16	6.41	1.69	16
ÅSTOL	FIBO53	09	17.18	0.50	13	21.46	2.13	13	3.70	0.56	24	101.42	6.37	14	nan	nan	0	0.07	0.02	15	0.45	0.55	15	1.55	1.06	15	0.05	0.03	15	0.68	0.71	5	0.27	0.19	15	16.68	1.85	15	16.68	1.85	15	2.68	1.00	15	7.91	3.81	15
ÅSTOL	FIBO53	10	13.62	0.99	13	23.08	1.94	13	4.43	0.69	26	100.42	1.55	15	nan	nan	0	0.09	0.04	15	0.74	0.92	15	2.19	1.93	15	0.07	0.06	15	0.67	0.94	12	0.30	0.37	15	16.37	2.07	15	16.37	2.07	15	3.63	1.36	15	6.89	1.35	14
ÅSTOL	FIBO53	11	9.39	1.52	15	22.91	2.60	14	5.23	0.47	29	97.34	3.40	16	nan	nan	0	0.26	0.09	16	4.14	2.52	16	5.85	3.16	16	0.27	0.21	16	3.39	2.40	16	0.99	0.52	16	18.89	3.19	16	18.89	3.19	16	3.00	1.09	16	6.10	1.89	13
ÅSTOL	FIBO53	12	6.03	1.81	12	23.71	2.97	12	5.53	0.70	25	96.79	3.04	14	nan	nan	0	0.40	0.10	14	6.11	3.20	14	7.44	3.43	14	0.37	0.26	14	5.19	3.13	14	1.20	0.45	14	19.52	3.11	14	19.52	3.11	14	1.75	0.99	14	6.71	3.23	11
KOLJÖFJORD	FIBO42	01	3.86	1.80	10	22.46	1.84	9	0.88	2.21	23	90.47	4.10	10	nan	nan	0	0.76	0.13	10	12.44	3.99	10	25.67	4.10	10	0.34	0.10	10	11.38	3.14	10	2.17	0.94	10	27.60	4.37	10	27.60	4.37	10	0.42	0.31	10	4.20	1.18	4
KOLJÖFJORD	FIBO42	02	1.60	1.26	10	22.91	1.57	9	1.40	2.31	22	91.94	4.30	11	nan	nan	0	0.74	0.08	11	14.62	3.24	11	25.37	3.75	11	0.33	0.09	11	13.71	2.98	11	1.88	0.30	11	30.77	2.97	11	30.77	2.97	11	0.36	0.21	11	4.25	1.60	4
KOLJÖFJORD	FIBO42	03	2.10	1.43	13	22.50	1.71	13	1.03	2.02	26	99.82	8.53	14	nan	nan	0	0.47	0.26	14	11.10	5.74	14	19.64	8.65	14	0.31	0.18	14	10.54	5.37	14	0.67	0.55	14	26.38	4.15	14	26.38	4.15	14	5.04	7.55	14	5.44	2.18	12
KOLJÖFJORD	FIBO42	04	4.47	1.30	13	21.80	1.62	13	1.51	1.92	26	113.30	9.65	14	nan	nan	0	0.06	0.04	14	2.99	2.82	14	7.13	8.92	14	0.15	0.13	14	2.95	2.52	13	0.34	0.36	14	21.52	6.40	14	21.52	6.40	14	6.71	5.88	14	4.77	2.42	14
KOLJÖFJORD	FIBO42	05	10.73	1.90	16	21.09	1.63	16	1.26	1.97	31	110.08	5.66	17	nan	nan	0	0.06	0.02	17	1.50	1.56	17	3.48	3.96	17	0.11	0.09	17	1.67	1.39	13	0.30	0.18	17	19.86	3.91	17	19.86	3.91	17	3.28	2.04	17	5.16	1.83	17
KOLJÖFJORD	FIBO42	06	15.73	1.50	9	21.54	1.34	9	1.13	1.60	27	109.97	5.03	13	nan	nan	0	0.06	0.02	13	0.21	0.21	13	2.44	2.09	13	0.04	0.02	13	0.15	0.13	4	0.20	0.13	13	17.31	2.09	13	17.31	2.09	13	2.42	1.05	13	5.78	1.50	13
KOLJÖFJORD	FIBO42	07	18.17	1.48	14	21.64	1.79	14	0.78	1.28	24	104.68	6.27	15	nan	nan	0	0.07	0.09	15	0.16	0.06	15	1.55	2.10	15	0.03	0.02	15	0.07	0.04	3	0.16	0.09	15	17.70	1.60	15	17.70	1.60	15	2.43	0.85	15	5.79	1.37	15
KOLJÖFJORD	FIBO42	08	19.81	1.28	12	21.84	1.61	12	0.23	1.34	30	104.03	3.57	15	nan	nan	0	0.05	0.03	15	0.16	0.07	15	1.31	0.90	15	0.03	0.02	15	nan	nan	2	0.18	0.11	15	17.28	2.07	15	17.28	2.07	15	2.45	1.23	15	6.75	1.65	15
KOLJÖFJORD	FIBO42	09	17.80	0.32	13	22.17	0.96	13	-0.08	1.28	26	100.59	7.11	15	nan	nan	0	0.06	0.02	17	0.18	0.12	17	2.23	1.55	17	0.03	0.01	17	nan	nan	2	0.21	0.19	17	17.21	1.29	17	17.21	1.29	17	2.39	1.03	15	6.46	1.60	14
KOLJÖFJORD	FIBO42	10	13.88	0.96	13	22.36	1.64	13	-0.64	1.35	25	92.39	3.95	15	nan	nan	0	0.11	0.06	18	0.44	0.38	18	4.01	3.39	18	0.06	0.05	18	0.45	0.34	11	0.29	0.37	18	17.40	1.85	18	17.40	1.85	18	2.91	1.89	15	6.09	1.31	16
KOLJÖFJORD	FIBO42	11	9.42	1.49	14	22.60	1.70	13	-0.48	1.73	28	89.51	4.14	15	nan	nan	0	0.33	0.17	16	3.12	2.75	16	10.94	6.94	16	0.23	0.19	16	2.46	2.61	16	1.19	0.94	16	19.28	3.04	16	19.28	3.04	16	2.70	1.84	15	5.36	1.53	7
KOLJÖFJORD	FIBO42	12	5.85	2.06	13	23.09	2.03	13	-0.08	1.92	29	88.58	4.82	14	nan	nan	0	0.60	0.21	15	7.23	3.20	15	18.47	6.42	15	0.39	0.22	15	6.00	3.08	15	1.90	0.95	15	22.51	3.67	15	22.51	3.67	15	0.67	0.33	15	4.50	1.26	5
GALTERÖ	FIBO10	01	3.55	1.54	10	22.94	2.32	9	6.19	0.49	25	95.67	2.02	10	nan	nan	0	0.59	0.07	10	10.76	3.99	10	15.79	6.54	10	0.25	0.06	10	9.83	3.20	10	1.74	0.72	10	24.09	3.87	10	24.09	3.87	10	0.98	1.18	10	4.06	0.95	8
GALTERÖ	FIBO10	02	1.96	1.29	10	23.95	1.97	9	6.41	0.44	24	94.73	3.90	11	nan	nan	0	0.63	0.08	11	12.74	3.53	11	16.76	5.18	11	0.35	0.14	11	11.73	3.12	11	1.56	0.63	11	26.94	3.78	11	26.94	3.78	11	1.06	1.88	11	4.68	1.58	11
GALTERÖ	FIBO10	03	1.85	1.57	14	22.06	2.59	13	6.54	0.48	30	106.30	8.02	15	nan	nan	0	0.27	0.24	15	6.68	5.80	15	7.96	7.17	15	0.23	0.17	15	6.60	5.42	14	0.50	0.46	15	23.78	5.20	15	23.78	5.20	15	7.50	6.75	15	4.61	1.34	14
GALTERÖ	FIBO10	04	4.89	1.27	13	21.37	2.37	13	6.10	0.61	28	107.54	5.13	14	nan	nan	0	0.09	0.06	14	3.74	2.24	14	4.38	3.70	14	0.14	0.05	14	3.34	2.18	14	0.77	0.65	14	21.60	4.39	14	21.60	4.39	14	3.46	2.94	14	5.00	1.56	14
GALTERÖ	FIBO10	05	10.80	1.64	16	20.16	1.83	16	5.69	0.46	31	108.51	5.59	17	nan	nan	0	0.08	0.03	17	1.61	1.71	17	3.67	2.89	17	0.11	0.08	17	1.58	1.66	14	0.47	0.38	17	20.74	3.83	17	20.74	3.83	17	3.72	2.19	17	4.54	1.17	17
GALTERÖ	FIBO10	06	15.58	1.41	11	21.00	1.87	11	5.03	0.48	30	113.56	7.64	13	nan	nan	0	0.08	0.03	14	0.30	0.34	14	1.93	1.52	14	0.05	0.02	14	0.27	0.24	7	0.24	0.18	14	18.47	2.73	14	18.47	2.73	14	3.48	1.65	14	4.71	1.05	13
GALTERÖ	FIBO10	07	18.27	1.58	15	21.27	1.85	15	4.18	0.40	27	106.42	5.74	15	nan	nan	0	0.06	0.02	16	0.29	0.36	16	1.64	1.45	16	0.04	0.03	16	0.43	0.49	6	0.19	0.11	16	17.95	1.90	16	17.95	1.90	16	3.22	0.79	16	4.76	1.21	16
GALTERÖ	FIBO10	08	19.63	1.55	13	21.24	1.65	13	3.08	0.58	29	108.56	7.39	15	nan	nan	0	0.08	0.03	16	0.16	0.05	16	1.77	1.45	16	0.04	0.01	16	0.09	0.04	5	0.20	0.10	16	18.42	2.03	16	18.42	2.03	16	4.54	3.17	16	5.30	0.99	16
GALTERÖ	FIBO10	09	17.54	0.37	13	21.89	1.72	13	3.00	0.69	27	100.56	7.88	14	nan	nan	0	0.09	0.02	17	0.24	0.17	17	2.58	1.98	17	0.06	0.03	17	0.11	0.04	8	0.28	0.27	17	18.29	1.84	17	18.29	1.84	17	4.77	2.11	15	5.02	1.31	17
GALTERÖ	FIBO10	10	13.72	1.08	13	23.42	2.14	13	3.65	0.82	28	97.28	3.58	15	nan	nan	0	0.15	0.06	18	0.85	0.94	18	4.43	2.88	18	0.13	0.09	18	0.66	0.82	15	0.38	0.28	18	18.31	2.61	18	18.31	2.61	18	5.23	2.27	15	4.73	1.10	17
GALTERÖ	FIBO10	11	9.48	1.35	14	23.33	1.18	13	4.60	0.68	28	93.53	3.17	15	nan	nan	0	0.35	0.15	16	4.14	2.14	16	9.12	4.85	16	0.32	0.16	16	3.24	1.73	16	1.50	0.78	16	20.10	2.23	16	20.10	2.23	16	3.09	2.12	15	4.98	1.10	14
GALTERÖ	FIBO10	12	5.82	1.89	12	24.09	2.38	12	5.48	0.63	29	93.03	2.79	14	nan	nan	0	0.51	0.11	15	7.46	2.93	15	12.63	4.96	15	0.43	0.21	15	6.27	2.92	15	1.97	0.57	15	21.89	3.72	15	21.89	3.72	15	1.33	0.73	15	4.64	1.61	12
INSTÖ RÄNNA	FIBO07	01	3.17	1.77	12	19.70	2.49	11	7.10	0.61	27	97.47	1.63	12	nan	nan	0	0.47	0.09	12	13.58	2.93	12	12.49	3.56	12	0.23	0.07	12	12.94	2.84	12	1.42	0.57	12	27.33	4.16	12	27.33	4.16	12	1.10	1.17	11	3.14	1.17	11
INSTÖ RÄNNA	FIBO07	02	1.66	1.41	12	21.20	3.46	11	7.19	0.43	28	96.83	2.53	13	nan	nan	0	0.54	0.08	13	14.25	3.95	13	13.16	3.09	13	0.30	0.14	13	13.58	3.85	13	1.09	0.49	13	28.28	5.63	13	28.28	5.63	13	0.88	1.02	12	3.86	1.93	11
INSTÖ RÄNNA	FIBO07	03	1.85	1.49	14	19.02	2.75	14	7.67	0.89	34	105.83	7.53	15	nan	nan	0	0.21	0.17	15	8.43	4.91	15	6.45	5.26	15	0.19	0.10	15	8.01	4.68	15	0.42	0.27	15	24.68	4.97	15	24.68	4.97	15	7.11	6.56	15	4.47	1.57	15
INSTÖ RÄNNA	FIBO07	04	4.47	1.25	14	18.54	3.94	14	7.39	0.78	33	105.08	3.47	15	nan	nan	0	0.10	0.05	15	7.18	3.81	15	4.44	2.99	15	0.13	0.05	15	6.82	3.78	15	0.95	0.69	15	23.44	5.67	15	23.44	5.67	15	2.10	1.11	15	5.10	2.05	15
INSTÖ RÄNNA	FIBO07	05	10.24	1.92	17	17.64	2.37	17	6.66	0.60	36	106.29	3.60	18	nan	nan	0	0.06	0.02	18	4.04	3.26	18	2.91	1.74	18	0.12	0.04	18	3.74	3.25	18	0.56	0.29	18	21.98	3.83	18	21.98	3.83	18	2.69	1.17	18	4.58	1.61	18
INSTÖ RÄNNA	FIBO07	06	15.02	1.79	11	19.31	3.23	11	6.03	0.62	35	108.15	4.67	14	nan	nan	0	0.07	0.02	14	2.55	2.68	14	1.59	1.03	14	0.10	0.05	14	2.83	2.67	11	0.41	0.29	14	20.17	3.90	14	20.17	3.90	14	3.17	1.22	14	4.70	1.27	14
