STATN	STNCODE	MONTH	TEMP_CTD:mean	TEMP_CTD:std	TEMP_CTD:number_of_values	SALT_CTD:mean	SALT_CTD:std	SALT_CTD:number_of_values	DOXY_BTL_bottom:mean	DOXY_BTL_bottom:std	DOXY_BTL_bottom:number_of_values	O2SAT_BTL:mean	O2SAT_BTL:std	O2SAT_BTL:number_of_values	H2S:mean	H2S:std	H2S:number_of_values	PHOS:mean	PHOS:std	PHOS:number_of_values	DIN:mean	DIN:std	DIN:number_of_values	SIO3-SI:mean	SIO3-SI:std	SIO3-SI:number_of_values	NTRI:mean	NTRI:std	NTRI:number_of_values	NTRA:mean	NTRA:std	NTRA:number_of_values	AMON:mean	AMON:std	AMON:number_of_values	PTOT:mean	PTOT:std	PTOT:number_of_values	NTOT:mean	NTOT:std	NTOT:number_of_values	CHLA:mean	CHLA:std	CHLA:number_of_values	SECCHI:mean	SECCHI:std	SECCHI:number_of_values
ANHOLT E	KAEX29	11	9.01	1.48	16	22.77	2.81	16	4.43	0.46	37	99.53	1.60	20	nan	nan	0	0.26	0.09	19	0.76	0.79	19	4.19	3.24	19	0.11	0.13	19	0.61	0.56	16	0.26	0.22	17	14.98	1.44	20	14.98	1.44	20	4.02	2.23	20	8.25	1.56	8
ANHOLT E	KAEX29	12	6.10	1.95	18	23.68	4.08	18	5.18	0.55	28	99.26	1.59	19	nan	nan	0	0.45	0.11	19	3.17	1.04	19	7.00	2.93	19	0.22	0.13	19	2.74	0.95	19	0.44	0.25	17	16.44	1.89	19	16.44	1.89	19	2.18	1.68	19	nan	nan	2
BCS III-10	BPSE11	01	4.11	0.90	14	7.32	0.17	14	1.61	1.36	30	96.52	0.98	14	nan	nan	0	0.67	0.16	14	2.77	0.40	14	11.75	2.63	14	0.13	0.10	14	2.51	0.46	14	0.24	0.20	14	19.39	1.04	14	19.39	1.04	14	0.58	0.35	14	9.33	2.05	3
BCS III-10	BPSE11	02	2.86	0.74	10	7.30	0.17	10	1.95	1.13	17	97.90	1.13	10	nan	nan	0	0.73	0.12	10	3.20	0.39	10	12.92	1.58	10	0.10	0.05	10	3.01	0.39	10	0.26	0.18	10	20.93	1.04	10	20.93	1.04	10	0.60	0.31	10	11.33	1.70	3
BCS III-10	BPSE11	03	2.83	0.85	16	7.34	0.13	16	2.03	1.42	34	99.96	1.83	17	nan	nan	0	0.68	0.08	17	3.18	0.93	17	12.68	1.55	17	0.12	0.05	17	2.94	0.92	17	0.21	0.09	16	21.28	1.43	17	21.28	1.43	17	1.63	1.87	17	10.93	2.76	7
BCS III-10	BPSE11	04	3.91	1.29	15	7.32	0.10	15	2.48	1.62	25	108.94	5.16	15	nan	nan	0	0.46	0.14	15	0.87	1.03	15	11.15	2.38	15	0.05	0.05	15	1.71	0.78	6	0.18	0.16	15	20.91	1.69	15	20.91	1.69	15	4.37	2.63	15	9.12	0.74	4
BCS III-10	BPSE11	05	7.40	2.06	12	7.28	0.12	12	2.91	1.91	26	116.33	5.15	12	nan	nan	0	0.21	0.10	12	0.12	0.01	12	9.90	2.51	12	0.02	0.01	12	nan	nan	1	0.15	0.09	12	21.85	2.63	12	21.85	2.63	12	4.27	2.33	12	8.00	2.45	9
BCS III-10	BPSE11	06	12.78	2.11	16	7.22	0.10	16	1.96	1.58	27	113.06	5.24	16	nan	nan	0	0.16	0.11	16	0.15	0.05	16	9.83	2.40	16	0.03	0.01	16	0.10	0.00	3	0.13	0.08	16	20.99	2.74	16	20.99	2.74	16	2.70	1.11	16	6.17	0.90	6
BCS III-10	BPSE11	07	17.71	2.27	18	7.18	0.16	17	1.52	1.12	26	110.83	5.18	18	nan	nan	0	0.14	0.10	18	0.16	0.04	18	9.89	2.82	18	0.04	0.02	18	0.11	0.03	6	0.13	0.07	18	23.18	3.28	18	23.18	3.28	18	3.38	1.60	18	5.42	1.44	12
BCS III-10	BPSE11	08	18.51	1.46	16	7.15	0.15	16	2.43	1.67	30	101.76	5.17	16	nan	nan	0	0.11	0.06	16	0.14	0.02	16	7.87	2.04	16	0.04	0.02	16	nan	nan	1	0.21	0.12	16	22.12	2.18	16	22.12	2.18	16	2.36	0.67	16	7.06	1.59	8
BCS III-10	BPSE11	09	16.32	1.09	13	7.16	0.15	13	2.03	1.29	24	99.18	1.63	13	nan	nan	0	0.16	0.07	13	0.16	0.06	13	8.34	2.14	13	0.03	0.01	13	0.11	0.02	5	0.25	0.17	13	20.46	1.39	13	20.46	1.39	13	2.07	0.47	13	nan	nan	1
BCS III-10	BPSE11	10	12.57	1.32	13	7.15	0.19	13	1.59	1.09	23	98.44	1.08	13	nan	nan	0	0.21	0.09	13	0.28	0.16	13	7.48	2.13	13	0.07	0.04	13	0.18	0.10	9	0.33	0.21	13	19.85	1.20	12	19.85	1.20	12	2.67	0.54	13	nan	nan	2
BCS III-10	BPSE11	11	9.12	1.19	14	7.18	0.20	14	1.89	1.39	32	97.40	1.23	14	nan	nan	0	0.30	0.06	14	0.80	0.41	14	6.99	1.80	14	0.21	0.10	14	0.39	0.30	14	0.20	0.09	13	19.28	0.97	14	19.28	0.97	14	2.65	0.91	14	nan	nan	1
BCS III-10	BPSE11	12	6.51	0.83	13	7.27	0.17	13	1.44	0.92	21	96.40	1.02	13	nan	nan	0	0.51	0.08	13	1.77	0.49	13	9.27	1.81	13	0.19	0.13	13	1.38	0.57	13	0.31	0.25	13	20.03	1.42	13	20.03	1.42	13	1.52	0.74	13	nan	nan	1
BY1	BPSA02	01	3.62	1.46	15	8.31	0.83	15	6.73	0.98	33	98.80	1.01	15	nan	nan	0	0.62	0.12	15	3.71	0.95	15	11.70	2.13	15	0.35	0.25	15	3.00	0.90	15	0.16	0.08	15	20.81	1.67	14	20.81	1.67	14	0.99	0.35	9	nan	nan	0
BY1	BPSA02	02	2.55	1.04	13	8.03	0.51	13	6.90	1.01	26	99.47	0.88	13	nan	nan	0	0.66	0.13	13	3.32	0.53	13	12.52	2.01	13	0.18	0.06	13	2.96	0.53	13	0.19	0.07	13	21.61	0.87	13	21.61	0.87	13	1.69	0.83	8	nan	nan	0
BY1	BPSA02	03	2.82	1.08	15	8.00	0.49	15	7.40	0.81	29	104.31	4.42	16	nan	nan	0	0.50	0.23	16	2.05	2.24	16	10.39	4.98	16	0.16	0.17	16	2.73	1.87	10	0.21	0.11	15	23.24	7.19	16	23.24	7.19	16	4.66	3.45	12	7.38	1.19	4
BY1	BPSA02	04	4.47	1.39	16	7.70	0.28	16	5.96	1.42	27	109.38	3.03	16	nan	nan	0	0.33	0.19	16	0.68	1.61	16	7.87	3.81	16	0.04	0.04	16	2.85	2.55	3	0.19	0.09	16	20.88	4.89	16	20.88	4.89	16	4.49	3.21	10	nan	nan	0
BY1	BPSA02	05	8.16	1.30	11	7.59	0.22	11	4.83	1.46	26	108.50	2.20	12	nan	nan	0	0.27	0.14	12	0.12	0.00	12	7.91	2.72	12	0.02	0.00	12	nan	nan	1	0.15	0.08	12	19.93	1.65	12	19.93	1.65	12	1.74	1.25	8	nan	nan	1
BY1	BPSA02	06	13.35	1.94	17	7.54	0.28	17	3.64	1.57	28	108.93	3.85	17	nan	nan	0	0.19	0.10	17	0.14	0.05	17	7.67	1.90	17	0.03	0.01	17	nan	nan	1	0.13	0.07	17	20.87	2.35	17	20.87	2.35	17	2.22	1.40	11	6.83	0.85	3
BY1	BPSA02	07	17.50	1.76	19	7.63	0.30	19	2.67	1.40	29	106.86	3.38	19	nan	nan	0	0.17	0.11	19	0.14	0.05	19	8.36	1.92	19	0.03	0.01	19	nan	nan	2	0.17	0.10	19	21.18	1.69	19	21.18	1.69	19	2.27	0.89	12	nan	nan	0
BY1	BPSA02	08	18.04	1.69	17	7.63	0.30	17	2.07	1.39	36	102.75	3.45	17	nan	nan	0	0.21	0.13	17	0.13	0.01	17	9.02	1.99	17	0.03	0.01	17	nan	nan	1	0.16	0.07	16	21.33	1.50	17	21.33	1.50	17	2.03	0.93	13	6.50	0.41	3
BY1	BPSA02	09	15.62	1.29	14	7.83	0.30	14	2.69	1.82	27	99.03	2.10	14	nan	nan	0	0.29	0.13	14	0.15	0.06	14	10.25	1.78	14	0.03	0.01	14	nan	nan	2	0.16	0.09	14	20.32	1.50	14	20.32	1.50	14	2.41	0.52	11	nan	nan	2
BY1	BPSA02	10	12.33	1.29	15	7.98	0.60	15	3.94	1.54	25	98.52	2.01	15	nan	nan	0	0.35	0.16	15	0.22	0.11	15	10.18	2.38	15	0.05	0.02	15	0.14	0.08	9	0.25	0.11	15	19.80	1.19	15	19.80	1.19	15	2.81	0.62	11	7.33	1.25	3
BY1	BPSA02	11	9.67	1.28	13	8.07	0.32	13	4.54	1.36	33	98.33	1.12	15	nan	nan	0	0.41	0.15	15	0.72	0.45	15	8.71	3.26	15	0.18	0.12	15	0.34	0.27	15	0.33	0.32	13	19.06	0.82	15	19.06	0.82	15	3.22	0.86	11	nan	nan	1
BY1	BPSA02	12	6.76	0.80	15	8.47	0.87	15	6.12	1.15	25	98.59	1.59	15	nan	nan	0	0.53	0.12	15	2.35	0.63	15	9.52	3.00	15	0.47	0.15	15	1.43	0.55	15	0.28	0.21	14	20.57	1.31	15	20.57	1.31	15	1.70	0.54	11	nan	nan	1
BY2 ARKONA	BPSA03	01	3.63	1.53	15	8.13	0.68	15	6.37	0.90	34	98.73	1.05	15	nan	nan	0	0.63	0.11	15	3.70	1.03	15	12.09	2.06	15	0.33	0.21	15	3.04	0.94	15	0.15	0.09	15	20.29	4.35	14	20.29	4.35	14	1.35	0.65	15	8.50	1.08	3
BY2 ARKONA	BPSA03	02	2.66	1.02	12	8.00	0.38	12	6.91	0.78	25	99.61	1.08	12	nan	nan	0	0.64	0.12	12	3.47	0.39	12	12.11	1.91	12	0.19	0.07	12	3.10	0.45	12	0.21	0.09	12	21.48	1.09	12	21.48	1.09	12	1.26	0.60	12	nan	nan	1
BY2 ARKONA	BPSA03	03	2.81	1.15	15	7.92	0.30	15	7.28	0.70	30	103.96	5.18	16	nan	nan	0	0.50	0.24	16	2.12	2.10	16	10.80	5.01	16	0.15	0.11	16	2.40	1.89	12	0.18	0.08	15	21.57	3.08	16	21.57	3.08	16	3.72	2.00	16	7.80	0.98	5
BY2 ARKONA	BPSA03	04	4.63	1.51	16	7.76	0.27	16	6.38	1.20	29	107.57	1.75	16	nan	nan	0	0.35	0.20	16	0.22	0.23	16	7.34	4.04	16	0.03	0.02	16	0.48	0.27	3	0.18	0.11	16	19.31	1.74	16	19.31	1.74	16	2.94	1.87	16	7.17	2.01	3
BY2 ARKONA	BPSA03	05	8.56	1.59	12	7.56	0.29	12	4.21	1.43	28	109.19	2.49	12	nan	nan	0	0.26	0.15	12	0.13	0.01	12	7.44	2.44	12	0.03	0.01	12	nan	nan	1	0.15	0.10	12	19.72	1.93	12	19.72	1.93	12	2.02	1.04	12	6.00	1.41	3
BY2 ARKONA	BPSA03	06	13.32	2.24	16	7.55	0.28	15	4.08	1.35	28	108.03	4.19	16	nan	nan	0	0.18	0.11	16	0.15	0.05	16	8.08	1.96	16	0.03	0.01	16	0.12	0.03	3	0.13	0.07	16	20.70	2.35	16	20.70	2.35	16	2.01	0.90	16	6.33	1.25	3
BY2 ARKONA	BPSA03	07	17.38	1.94	19	7.56	0.23	19	2.91	0.93	28	107.49	3.13	19	nan	nan	0	0.17	0.10	19	0.14	0.04	19	8.78	2.43	19	0.03	0.02	19	nan	nan	1	0.13	0.08	19	21.48	1.86	19	21.48	1.86	19	2.53	1.26	19	nan	nan	2
BY2 ARKONA	BPSA03	08	18.39	1.31	18	7.67	0.35	18	2.00	0.79	37	101.80	3.55	18	nan	nan	0	0.18	0.10	18	0.13	0.01	18	9.07	1.90	18	0.03	0.01	18	nan	nan	1	0.21	0.22	17	20.75	1.27	18	20.75	1.27	18	2.27	0.82	18	5.50	0.87	4
BY2 ARKONA	BPSA03	09	15.86	1.34	14	7.69	0.28	14	1.79	0.96	28	99.86	1.94	14	nan	nan	0	0.25	0.10	14	0.15	0.05	14	10.03	1.79	14	0.03	0.02	14	0.10	0.00	3	0.15	0.08	14	20.46	1.18	14	20.46	1.18	14	2.17	0.48	14	nan	nan	1
BY2 ARKONA	BPSA03	10	12.26	1.26	14	7.67	0.27	14	3.16	1.34	24	98.44	1.82	14	nan	nan	0	0.34	0.13	14	0.23	0.10	14	9.74	1.85	14	0.06	0.03	14	0.13	0.03	10	0.23	0.11	14	19.29	1.25	14	19.29	1.25	14	2.47	0.87	14	7.50	1.12	4
BY2 ARKONA	BPSA03	11	9.81	1.14	13	8.01	0.51	12	4.02	1.21	29	98.44	1.13	15	nan	nan	0	0.38	0.15	15	0.84	0.41	15	8.19	3.13	15	0.21	0.10	15	0.42	0.27	15	0.24	0.19	13	19.24	0.96	15	19.24	0.96	15	3.15	1.02	15	7.50	1.10	5
BY2 ARKONA	BPSA03	12	6.69	0.90	15	8.09	0.55	15	4.59	1.67	23	98.36	1.36	15	nan	nan	0	0.54	0.12	15	2.23	0.77	15	9.76	3.14	15	0.36	0.17	15	1.50	0.75	15	0.27	0.17	14	19.37	4.40	15	19.37	4.40	15	1.80	0.63	15	nan	nan	2
BY4 CHRISTIANSÖ	BPSB06	01	4.02	1.24	12	7.41	0.33	12	1.84	2.09	27	97.96	0.49	12	nan	nan	0	0.66	0.15	12	2.75	0.58	12	12.24	2.27	12	0.16	0.13	12	2.42	0.58	12	0.20	0.16	12	19.68	0.54	11	19.68	0.54	11	0.81	0.31	7	nan	nan	2
BY4 CHRISTIANSÖ	BPSB06	02	3.00	0.84	10	7.55	0.32	10	2.73	2.13	17	99.07	1.02	10	nan	nan	0	0.67	0.08	10	3.23	0.49	10	12.31	1.52	10	0.09	0.04	10	3.04	0.44	10	0.17	0.06	10	20.13	1.11	10	20.13	1.11	10	1.06	0.53	6	11.00	0.63	5
BY4 CHRISTIANSÖ	BPSB06	03	2.76	1.08	15	7.58	0.28	15	2.43	2.25	29	101.48	2.87	16	nan	nan	0	0.65	0.19	16	2.28	0.96	16	12.88	2.82	16	0.11	0.04	16	2.18	0.76	15	0.16	0.08	15	20.45	1.31	16	20.45	1.31	16	1.99	1.05	11	11.10	1.50	5
BY4 CHRISTIANSÖ	BPSB06	04	4.23	1.44	15	7.50	0.18	15	1.58	1.68	24	109.14	4.35	15	nan	nan	0	0.45	0.19	15	0.45	0.82	15	11.17	3.37	15	0.04	0.05	15	1.45	1.06	3	0.16	0.09	15	20.11	1.82	15	20.11	1.82	15	3.20	1.60	9	9.40	1.74	5
BY4 CHRISTIANSÖ	BPSB06	05	7.43	1.50	12	7.45	0.20	12	0.70	1.31	26	110.68	3.29	12	nan	nan	0	0.32	0.13	12	0.13	0.01	12	10.03	2.81	12	0.02	0.01	12	nan	nan	0	0.18	0.13	11	18.40	3.96	12	18.40	3.96	12	2.70	1.77	8	6.12	1.52	4
BY4 CHRISTIANSÖ	BPSB06	06	12.73	2.04	16	7.37	0.24	16	0.46	1.33	28	109.13	4.07	16	nan	nan	0	0.23	0.11	16	0.15	0.05	16	9.00	2.83	16	0.03	0.01	16	0.13	0.03	4	0.13	0.06	16	19.82	1.89	16	19.82	1.89	16	1.90	0.96	11	7.00	1.43	10
BY4 CHRISTIANSÖ	BPSB06	07	17.12	1.85	19	7.36	0.20	19	0.08	1.23	29	107.00	3.86	19	nan	nan	0	0.17	0.10	19	0.14	0.04	19	9.14	2.40	19	0.03	0.01	19	0.10	0.00	3	0.15	0.11	19	21.19	1.69	19	21.19	1.69	19	2.42	1.02	12	6.31	1.15	13
BY4 CHRISTIANSÖ	BPSB06	08	18.42	1.51	18	7.34	0.17	18	-0.18	1.49	33	101.72	2.80	18	nan	nan	0	0.15	0.09	18	0.13	0.01	18	8.41	1.87	18	0.03	0.01	18	nan	nan	0	0.18	0.12	17	21.07	1.38	18	21.07	1.38	18	1.99	0.68	14	7.81	1.69	8
BY4 CHRISTIANSÖ	BPSB06	09	16.02	1.05	14	7.38	0.22	14	-0.10	1.14	25	99.48	1.41	14	nan	nan	0	0.20	0.10	14	0.15	0.06	14	9.36	1.86	14	0.03	0.01	14	0.11	0.02	3	0.16	0.10	14	20.37	1.69	14	20.37	1.69	14	2.24	0.45	11	7.17	1.22	9
BY4 CHRISTIANSÖ	BPSB06	10	11.98	1.81	15	7.36	0.21	15	0.19	1.34	25	97.94	2.42	15	nan	nan	0	0.33	0.17	14	0.21	0.11	14	9.36	2.29	14	0.05	0.03	14	0.14	0.07	9	0.25	0.15	14	19.96	1.93	14	19.96	1.93	14	2.24	0.70	11	8.25	2.17	4
BY4 CHRISTIANSÖ	BPSB06	11	9.26	1.07	16	7.41	0.21	16	0.40	1.52	33	97.48	1.34	17	nan	nan	0	0.40	0.14	15	0.85	0.60	15	8.09	2.90	15	0.23	0.12	15	0.39	0.39	15	0.17	0.11	13	19.15	0.57	15	19.15	0.57	15	3.19	1.28	11	9.67	0.47	3
BY4 CHRISTIANSÖ	BPSB06	12	6.47	1.14	15	7.38	0.34	15	0.78	1.20	22	97.10	1.41	15	nan	nan	0	0.56	0.14	15	1.81	0.49	15	10.74	3.17	15	0.24	0.10	15	1.33	0.53	15	0.28	0.24	14	19.67	1.43	15	19.67	1.43	15	1.79	0.93	11	nan	nan	2
BY5 BORNHOLMSDJ	BPSB07	01	4.12	1.12	12	7.46	0.31	12	1.33	1.56	31	97.71	0.57	12	nan	nan	0	0.70	0.15	12	2.81	0.56	12	12.44	1.94	12	0.18	0.16	12	2.45	0.54	12	0.20	0.14	12	19.40	1.17	12	19.40	1.17	12	0.89	0.58	12	nan	nan	0
BY5 BORNHOLMSDJ	BPSB07	02	3.01	0.78	10	7.53	0.25	10	1.91	1.51	18	98.53	1.16	10	nan	nan	0	0.68	0.09	10	3.15	0.41	10	12.48	1.55	10	0.08	0.02	10	2.99	0.39	10	0.15	0.05	10	20.19	0.78	10	20.19	0.78	10	1.02	0.65	10	10.60	1.02	5
BY5 BORNHOLMSDJ	BPSB07	03	2.80	1.04	14	7.56	0.25	14	1.95	1.86	31	100.81	1.84	16	nan	nan	0	0.68	0.15	16	2.37	0.82	16	13.26	1.92	16	0.12	0.04	16	2.14	0.79	16	0.18	0.09	14	20.56	1.57	16	20.56	1.57	16	2.31	1.88	16	10.07	2.81	7
BY5 BORNHOLMSDJ	BPSB07	04	3.99	1.33	14	7.45	0.21	14	1.50	1.59	24	108.48	4.51	14	nan	nan	0	0.48	0.16	14	0.43	0.79	14	11.30	2.91	14	0.04	0.04	14	0.98	1.07	4	0.17	0.09	14	19.30	3.92	14	19.30	3.92	14	4.03	1.66	13	8.83	2.03	12
BY5 BORNHOLMSDJ	BPSB07	05	7.54	1.49	12	7.43	0.19	12	0.79	1.37	25	112.85	3.14	12	nan	nan	0	0.29	0.13	12	0.12	0.01	12	9.87	2.79	12	0.02	0.00	12	nan	nan	1	0.14	0.07	12	19.98	1.54	12	19.98	1.54	12	3.21	1.76	12	7.94	1.64	9
BY5 BORNHOLMSDJ	BPSB07	06	12.81	1.96	16	7.38	0.21	16	0.61	1.48	28	108.83	4.47	16	nan	nan	0	0.23	0.11	16	0.15	0.05	16	8.96	2.91	16	0.03	0.01	16	0.12	0.03	3	0.13	0.05	16	19.46	1.67	16	19.46	1.67	16	1.93	0.86	16	7.63	1.54	15
BY5 BORNHOLMSDJ	BPSB07	07	17.53	1.73	19	7.35	0.18	19	0.34	0.89	30	108.02	2.95	19	nan	nan	0	0.16	0.09	19	0.15	0.05	19	9.14	2.49	19	0.04	0.01	19	0.10	0.00	3	0.15	0.07	19	21.30	1.83	19	21.30	1.83	19	2.62	1.11	19	5.71	1.51	17
BY5 BORNHOLMSDJ	BPSB07	08	18.39	1.25	18	7.34	0.19	18	0.06	1.29	37	101.74	2.60	18	nan	nan	0	0.15	0.09	18	0.13	0.01	18	8.42	1.77	18	0.03	0.01	18	nan	nan	1	0.17	0.08	17	20.71	1.44	18	20.71	1.44	18	2.11	0.77	18	7.23	1.07	11
BY5 BORNHOLMSDJ	BPSB07	09	16.02	1.25	14	7.37	0.20	14	-0.10	1.11	28	99.65	1.48	14	nan	nan	0	0.21	0.11	14	0.14	0.05	14	9.20	1.87	14	0.03	0.01	14	nan	nan	2	0.19	0.11	14	19.77	0.95	14	19.77	0.95	14	2.13	0.57	14	6.95	0.72	10
BY5 BORNHOLMSDJ	BPSB07	10	12.77	1.03	14	7.34	0.18	14	-0.22	1.16	24	98.40	1.39	14	nan	nan	0	0.27	0.11	14	0.20	0.09	14	8.49	1.82	14	0.05	0.02	14	0.13	0.04	8	0.22	0.09	14	19.62	1.12	14	19.62	1.12	14	2.63	0.58	14	7.83	0.69	6
BY5 BORNHOLMSDJ	BPSB07	11	9.37	1.06	15	7.42	0.20	15	0.09	1.02	33	97.91	1.69	16	nan	nan	0	0.36	0.15	15	0.71	0.57	15	7.51	3.34	15	0.17	0.08	15	0.36	0.45	15	0.17	0.11	13	18.97	0.61	15	18.97	0.61	15	3.32	1.30	15	nan	nan	2
BY5 BORNHOLMSDJ	BPSB07	12	6.71	0.93	15	7.45	0.22	15	0.78	1.06	23	97.27	1.66	15	nan	nan	0	0.56	0.14	15	1.86	0.52	15	10.25	2.97	15	0.22	0.14	15	1.41	0.58	15	0.25	0.17	13	20.04	1.71	15	20.04	1.71	15	1.72	0.77	15	9.60	1.02	5
BY10	BPEX13	01	4.33	0.77	12	7.24	0.13	12	-0.68	1.20	31	96.67	1.20	13	nan	nan	0	0.62	0.12	13	2.86	0.51	13	11.31	2.37	13	0.15	0.12	13	2.56	0.56	13	0.27	0.25	13	20.01	0.96	13	20.01	0.96	13	0.53	0.39	13	nan	nan	2
BY10	BPEX13	02	2.74	0.84	8	7.27	0.10	8	-0.34	1.60	18	97.62	1.21	8	nan	nan	0	0.72	0.08	8	3.26	0.37	8	13.11	1.60	8	0.08	0.04	8	3.10	0.37	8	0.17	0.05	8	20.53	1.11	8	20.53	1.11	8	0.68	0.55	8	nan	nan	2
BY10	BPEX13	03	2.70	0.89	15	7.28	0.11	15	-0.38	1.68	32	99.31	1.41	16	nan	nan	0	0.66	0.07	16	3.19	0.43	16	12.04	1.19	16	0.10	0.03	16	2.98	0.41	16	0.18	0.08	15	21.01	2.02	16	21.01	2.02	16	1.12	0.81	16	14.33	2.75	6
BY10	BPEX13	04	3.61	1.16	15	7.26	0.12	15	-0.48	1.71	26	107.56	4.51	15	nan	nan	0	0.43	0.18	15	0.91	1.19	15	10.95	2.57	15	0.06	0.06	15	1.59	1.15	7	0.14	0.07	15	21.08	2.72	15	21.08	2.72	15	5.23	6.46	15	nan	nan	2
BY10	BPEX13	05	7.27	1.96	11	7.24	0.14	8	-0.03	2.18	25	114.58	3.50	11	nan	nan	0	0.18	0.09	11	0.13	0.03	11	9.58	2.63	11	0.02	0.00	11	0.20	0.14	3	0.15	0.08	11	21.29	2.31	11	21.29	2.31	11	3.41	1.55	11	nan	nan	1
BY10	BPEX13	06	12.53	2.29	15	7.16	0.12	14	-0.42	1.89	27	113.58	7.34	15	nan	nan	0	0.10	0.06	15	0.14	0.05	15	8.68	2.07	15	0.03	0.01	15	nan	nan	2	0.12	0.07	15	20.63	3.48	15	20.63	3.48	15	3.40	2.77	15	6.83	0.37	6
BY10	BPEX13	07	17.36	2.08	19	7.10	0.16	19	-0.52	1.60	29	111.12	4.27	19	nan	nan	0	0.09	0.05	19	0.15	0.05	19	8.38	2.13	19	0.04	0.02	19	0.10	0.00	3	0.14	0.13	19	23.83	2.49	19	23.83	2.49	19	3.34	1.20	19	nan	nan	2
